Species,Test AUC,wc2.1_30s_bio_1_fc,wc2.1_30s_bio_2_fc,wc2.1_30s_bio_3_fc,wc2.1_30s_bio_4_fc,wc2.1_30s_bio_5_fc,wc2.1_30s_bio_6_fc,wc2.1_30s_bio_7_fc,wc2.1_30s_bio_8_fc,wc2.1_30s_bio_9_fc,wc2.1_30s_bio_10_fc,wc2.1_30s_bio_11_fc,wc2.1_30s_bio_12_fc,wc2.1_30s_bio_13_fc,wc2.1_30s_bio_14_fc,wc2.1_30s_bio_15_fc,wc2.1_30s_bio_16_fc,wc2.1_30s_bio_17_fc,wc2.1_30s_bio_18_fc,wc2.1_30s_bio_19_fc,wc2.1_30s_bio_20_fc
Rapanea_wightiana,0.921,0.0,0.0,0.0,18.2,0.0,0.0,0.0,10.0,0.0,0.0,0.0,53.8,0.0,0.0,0.0,0.0,0.0,0.0,14.5,3.6
Psychotria_flavida,0.956,0.0,0.0,0.0,27.5,0.0,0.0,1.8,0.0,0.0,0.0,15.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.3
Apodytes_dimidiata,0.859,0.0,18.5,0.0,0.0,4.0,0.0,42.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.6,0.2
Memecylon_malabaricum,0.882,0.0,1.5,0.0,15.5,4.8,0.6,0.0,0.0,0.0,0.0,0.0,36.8,0.0,40.6,0.0,0.0,0.2,0.0,0.0,0.0
Lasiosiphon_glaucus,0.898,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,79.3,0.0,1.4,9.4,3.2,3.5
Actinodaphne_wightiana,0.927,0.0,0.2,16.3,2.2,0.0,5.8,0.3,0.0,0.0,5.3,0.1,11.5,0.2,0.1,0.0,24.3,0.0,0.7,3.0,30.2
Xantolis_tomentosa,0.922,0.0,0.0,2.5,0.3,4.1,0.0,0.0,0.3,0.1,0.0,0.2,0.3,34.4,17.1,14.9,0.0,0.4,14.8,7.1,3.6
Cryptocarya_anamalayana,0.875,0.0,0.0,3.3,1.0,0.8,0.5,0.0,6.4,0.0,7.0,4.0,9.2,0.0,1.3,0.0,3.3,0.4,0.4,41.4,21.1
Pajanelia_longifolia,0.931,0.0,5.0,0.0,0.1,0.0,0.0,9.4,0.0,0.0,0.0,0.0,2.7,24.9,5.6,0.0,0.0,0.0,0.0,16.8,35.6
Litsea_laevigata,0.888,0.0,9.4,10.4,0.3,5.1,1.7,2.2,7.2,0.0,0.0,0.0,22.6,4.1,5.2,1.5,13.1,0.0,4.8,7.8,4.6
Nothopegia_castaneifolia,0.966,0.0,0.1,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,69.6,6.3,0.2,5.4,4.4,12.0
Garcinia_spicata,0.889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,93.8,1.8
Litsea_oleoides,0.966,17.2,5.6,4.9,0.1,0.0,0.0,2.4,0.3,0.5,0.0,3.2,12.3,0.0,4.5,0.0,0.0,0.5,0.0,48.4,0.2
Turpinia_malabarica,0.902,0.0,0.0,7.9,50.9,1.1,0.0,23.8,0.1,0.0,0.0,0.0,4.9,0.0,4.6,0.0,0.0,0.0,0.0,0.0,6.7
Oxyceros_rugulosus,0.996,0.5,0.0,0.0,0.0,0.0,0.0,0.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,66.7,0.0,2.4,14.3,3.3,1.6
Nothopegia_aureofulva,0.974,0.0,1.0,1.4,0.0,0.0,0.0,15.3,0.0,0.0,0.0,0.0,0.0,0.1,59.4,6.8,0.0,0.0,4.4,0.0,11.5
Semecarpus_auriculata,0.945,0.0,16.5,0.0,4.2,0.0,0.0,50.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1,0.3,0.0,6.1
Isonandra_lanceolata,0.954,0.0,13.4,2.7,2.2,0.0,0.0,6.5,0.0,0.0,8.4,3.2,10.8,0.0,0.0,0.0,0.0,0.4,0.1,48.6,3.6
Actinodaphne_bourdillonii,0.911,0.0,2.5,0.1,0.4,4.3,0.0,0.1,9.3,0.0,0.0,0.1,19.8,3.8,0.0,0.0,6.5,0.4,0.0,48.0,4.7
Vitex_altissima,0.838,0.0,0.3,19.3,0.1,0.1,0.0,0.0,0.1,0.6,0.0,1.2,22.2,0.1,35.2,3.8,0.0,0.2,14.6,1.5,0.5
Ficus_nervosa,0.826,0.1,4.6,7.6,0.0,23.8,1.3,0.8,0.9,0.0,0.4,0.0,36.6,7.8,3.9,0.5,0.0,1.3,2.6,0.4,7.5
Dipterocarpus_bourdillonii,0.943,0.0,3.9,0.0,0.6,0.0,0.0,92.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.4
Diploclisia_glaucescens,0.965,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,0.0,57.6,0.0,0.0,26.5,0.0,1.1
Beilschmiedia_dalzellii,0.88,0.0,3.6,1.4,2.4,5.8,3.8,0.5,2.0,0.0,1.4,0.1,5.3,16.1,1.0,0.8,25.5,0.0,3.6,0.3,26.4
Connarus_wightii,0.979,0.0,1.1,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,0.0,46.5,0.0,0.0,35.3,0.0,0.7
Saprosma_corymbosum,1.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.4,10.6,0.0,0.0,0.0,0.0,0.0
Diospyros_buxifolia,0.959,0.0,7.8,7.8,1.2,0.0,6.7,22.4,0.0,1.7,0.0,0.3,6.5,1.3,2.2,1.1,0.4,0.1,5.8,4.3,30.5
Callicarpa_tomentosa,0.912,0.0,1.0,11.1,1.2,0.0,1.3,0.7,0.1,0.0,1.4,0.0,24.4,0.9,4.2,0.4,35.8,0.0,12.6,1.1,3.8
Mallotus_aureopunctatus,0.82,0.0,0.3,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.6,0.0,0.4,0.0,0.0,0.5,9.9,0.0
Diospyros_nigrescens,0.965,0.0,0.2,0.0,0.0,0.0,0.0,2.5,0.0,0.0,1.5,0.0,0.0,3.8,2.0,78.6,0.0,0.6,9.3,0.0,1.5
Anacolosa_densiflora,0.958,0.0,6.0,5.0,1.1,0.0,0.0,54.1,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.4,0.1,19.7,0.5,0.0,7.3
