Species,Test AUC,wc2.1_30s_bio_1_fc,wc2.1_30s_bio_2_fc,wc2.1_30s_bio_3_fc,wc2.1_30s_bio_4_fc,wc2.1_30s_bio_5_fc,wc2.1_30s_bio_6_fc,wc2.1_30s_bio_7_fc,wc2.1_30s_bio_8_fc,wc2.1_30s_bio_9_fc,wc2.1_30s_bio_10_fc,wc2.1_30s_bio_11_fc,wc2.1_30s_bio_12_fc,wc2.1_30s_bio_13_fc,wc2.1_30s_bio_14_fc,wc2.1_30s_bio_15_fc,wc2.1_30s_bio_16_fc,wc2.1_30s_bio_17_fc,wc2.1_30s_bio_18_fc,wc2.1_30s_bio_19_fc,wc2.1_30s_bio_20_fc
Eugenia_macrocalyx,0.985,0.0,0.0,6.9,1.8,0.0,0.0,0.3,0.0,0.0,0.0,0.0,8.6,10.9,5.8,2.0,40.4,1.0,3.1,5.6,13.7
Actinodaphne_salicina,0.957,0.0,0.0,0.0,51.2,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.4
Capparis_baducca,0.947,0.0,6.5,0.0,37.7,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.3,14.0,39.1
Neolitsea_zeylanica,0.869,0.0,1.9,0.0,5.1,0.0,0.0,0.0,3.0,0.1,1.2,0.0,2.8,56.8,0.5,4.2,0.0,0.4,3.1,3.0,17.9
Magnolia_nilagirica,0.839,0.0,0.0,0.0,0.9,0.0,0.0,0.0,99.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chionanthus_ramiflorus,0.983,6.9,9.8,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,0.0,6.7,0.0,0.0,0.1,0.0,2.0,0.0,61.4,6.5
Mallotus_rhamnifolius,0.983,0.0,51.4,0.0,0.2,0.0,0.0,42.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0
Symplocos_racemosa,0.929,0.0,0.0,6.6,0.3,0.0,0.0,1.5,2.3,0.0,16.9,0.0,3.8,42.9,0.1,0.2,3.6,0.5,0.1,5.4,15.8
Garcinia_rubroechinata,0.987,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.7,0.0,0.0,0.0,0.0,0.0
Otonephelium_stipulaceum,0.955,0.0,3.2,3.7,0.0,0.1,2.9,0.2,0.0,2.1,0.0,3.1,3.4,1.5,0.3,0.3,5.9,8.6,8.4,46.2,10.2
Prunus_ceylanica,0.83,0.0,2.5,0.1,8.8,0.0,0.0,6.8,0.0,0.0,0.0,1.1,20.8,0.0,20.7,4.5,0.0,18.5,0.0,14.5,1.7
Croton_malabaricus,0.915,0.0,0.8,6.4,0.0,0.0,0.6,4.5,0.0,0.8,0.0,0.1,4.5,0.0,14.5,0.3,0.0,13.6,1.1,29.2,23.7
Heynea_trijuga,0.878,0.0,0.0,2.4,0.0,0.0,10.7,3.7,30.1,0.0,0.0,0.0,21.0,23.4,4.1,0.0,0.0,0.1,0.2,1.9,2.5
Cinnamomum_malabatrum,0.855,1.5,7.4,4.0,2.5,13.7,0.4,0.6,2.3,0.3,0.1,1.8,29.0,0.3,4.9,0.2,2.2,4.5,3.6,7.2,13.6
Diospyros_montana,0.854,0.3,2.3,2.9,3.3,0.0,3.7,9.4,0.0,0.0,0.0,0.2,16.6,3.6,17.7,0.8,0.3,1.1,36.1,0.0,1.8
Canarium_strictum,0.941,4.0,3.8,24.0,4.9,0.0,0.4,5.9,0.3,0.1,2.2,0.5,18.9,7.8,1.4,0.4,0.0,0.0,0.0,10.1,15.3
Persea_macrantha,0.927,0.0,5.5,18.7,2.3,0.0,0.0,0.1,1.9,3.2,13.9,0.5,29.9,1.7,2.1,0.0,0.2,0.0,0.2,2.8,17.0
Cinnamomum_verum,0.891,0.0,0.0,0.0,2.3,3.0,0.0,1.1,0.0,0.0,0.0,0.0,5.4,55.7,0.1,2.4,4.7,0.1,17.6,5.8,1.7
Sageraea_thwaitesii,0.948,0.4,2.6,6.0,2.8,0.0,10.8,18.8,0.0,0.9,0.0,0.0,0.0,3.9,0.0,3.7,0.0,26.5,0.1,0.0,23.4
Miliusa_gokhalaei,0.915,0.0,0.0,8.5,5.3,0.0,0.0,44.1,18.3,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,14.8,0.0,0.1,6.0
Hunteria_zeylanica,0.926,0.0,0.0,3.8,51.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,26.5,10.9,0.0,0.0,0.7,4.5,2.1
Canthium_rheedei,0.989,0.0,0.1,2.1,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.2,54.6,0.0,0.0,20.8,5.3,4.6
Pinanga_dicksonii,0.949,0.3,7.6,0.0,8.0,0.0,0.0,18.4,1.2,0.0,0.0,0.0,9.2,7.3,0.0,0.0,15.4,0.0,1.9,25.8,4.9
Hopea_racophloea,0.847,0.0,12.4,0.0,0.0,0.0,0.0,66.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7
Ficus_tsjakela,0.579,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,29.8,0.0,0.0,0.0,0.0,7.8,26.0,3.4
Diospyros_vera,0.974,0.0,0.0,0.0,13.9,3.2,0.0,4.1,0.0,0.0,0.2,0.0,0.0,31.1,0.0,23.2,9.9,2.1,12.3,0.0,0.0
Ficus_beddomei,0.926,1.4,1.3,3.9,44.9,3.1,0.0,2.8,0.0,0.0,4.4,0.0,0.0,0.0,1.1,0.0,0.0,2.9,5.6,0.0,28.7
Orophea_erythrocarpa,0.81,0.3,4.6,0.0,0.0,0.5,0.0,44.2,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.3,0.0,0.0,0.0,49.5
Cleidion_javanicum,0.878,0.0,0.0,3.6,4.9,0.0,0.0,32.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,5.5,0.0,0.0,49.9
Cinnamomum_sulphuratum,0.962,0.0,49.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,27.8
Miliusa_nilagirica,0.925,0.0,41.1,2.7,0.0,0.0,0.7,16.3,0.0,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,20.7,0.0
Actinodaphne_lanceolata,0.971,0.0,5.7,0.0,0.0,2.9,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,44.8,0.0,0.4,40.3,2.5,0.2
Macaranga_indica,0.978,0.0,0.0,0.0,33.4,34.6,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,4.9,9.7
Cleistanthus_malabaricus,0.994,0.0,0.0,0.0,36.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,54.5
Litsea_wightiana,0.998,0.0,13.1,0.0,0.0,1.3,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.3
Terminalia_chebula,0.779,0.0,0.0,1.0,40.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.5,0.6,0.0,15.0,0.0,0.0,9.0,31.4,1.9
Mastixia_arborea,0.926,2.4,7.2,1.5,3.8,0.0,0.5,0.0,0.0,1.2,5.8,1.0,15.3,0.0,0.1,0.0,2.6,0.0,0.3,37.1,21.2
Dillenia_bracteata,0.985,0.0,23.9,0.0,0.0,5.8,0.0,26.4,0.0,2.4,0.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,0.0,14.0,25.5
Goniothalamus_cardiopetalus,0.923,0.0,20.6,0.0,3.9,2.7,0.0,10.1,0.9,0.1,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,51.3,5.4
Ailanthus_triphysa,0.73,0.0,0.0,0.0,4.1,0.0,0.0,0.0,21.8,17.7,0.0,0.9,0.0,0.0,16.1,29.1,0.0,0.3,10.0,0.0,0.0
Filicium_decipiens,0.63,0.0,0.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,72.9,11.5,0.0,0.0,4.8,0.0,0.0
Ficus_racemosa,0.948,0.0,0.0,0.0,6.1,0.0,0.0,0.0,1.2,0.0,0.1,0.0,0.1,0.0,0.2,85.0,0.0,0.8,0.0,0.0,6.6
Murraya_koenigii,0.833,0.0,0.0,2.3,0.6,0.0,0.0,0.0,11.2,0.0,0.0,0.0,8.3,0.0,42.9,4.9,0.0,0.0,0.0,23.8,5.9
Diospyros_ghatensis,0.944,0.0,0.7,0.3,0.3,0.0,0.0,8.2,0.0,1.8,0.0,3.2,11.1,0.0,0.4,1.5,0.1,8.6,0.0,50.8,13.0
Psychotria_anamallayana,0.96,0.0,11.1,0.0,3.2,4.1,0.0,24.3,0.0,0.0,0.0,0.0,0.0,0.0,54.6,0.0,0.0,0.0,0.1,2.3,0.3
Cryptocarya_wightiana,0.955,0.0,0.0,3.3,3.4,0.0,0.0,0.0,1.0,0.0,0.0,0.5,30.8,20.7,21.2,2.8,0.0,0.0,4.9,3.5,7.8
Clausena_austroindica,0.658,0.0,1.6,0.0,0.0,0.0,0.0,55.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.3
Orophea_sivarajanii,0.978,0.0,6.4,0.0,0.3,0.4,0.0,29.8,9.5,0.0,0.0,0.0,0.0,0.0,10.8,0.4,0.0,0.1,0.6,34.5,7.2
Myristica_dactyloides,0.919,0.0,3.5,9.0,0.0,0.0,0.0,0.1,1.2,0.5,11.9,1.4,26.5,0.9,0.7,0.1,0.2,2.8,0.0,37.8,3.1
Mangifera_indica,0.86,0.0,0.1,1.6,0.8,19.3,0.0,0.4,4.6,0.0,5.9,0.1,30.2,14.1,7.1,2.0,0.7,0.0,4.7,2.7,5.7
Chionanthus_courtallensis,0.994,0.0,0.0,0.3,4.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,87.5,5.4,0.0,0.0,0.0,0.0,0.0
Symplocos_cochinchinensis,0.201,0.0,20.6,0.0,5.1,0.0,0.0,0.0,7.9,0.0,0.0,0.0,41.1,6.0,7.4,0.0,0.0,0.0,0.0,0.0,12.0
Diospyros_bourdillonii,0.947,0.0,5.4,1.9,0.0,1.2,5.9,26.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,54.6,4.1
Atuna_travancorica,0.665,0.0,0.0,2.3,1.9,0.2,0.0,28.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,64.3,0.0,2.9,0.0
Macaranga_peltata,0.828,0.0,0.9,10.9,0.3,0.0,1.8,7.3,0.0,0.0,0.0,0.0,41.1,4.7,9.1,0.5,3.0,1.5,3.8,7.1,8.0
Meliosma_pinnata,0.851,5.7,0.0,2.1,3.8,27.5,0.0,60.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Leea_indica,0.849,0.0,0.1,1.8,0.7,3.1,1.6,1.4,0.1,0.1,2.4,0.2,28.7,4.3,2.9,25.0,1.9,0.0,6.9,11.2,7.6
Psychotria_nigra,0.902,0.0,0.9,20.9,0.0,0.0,3.0,0.0,0.7,0.2,12.4,0.8,29.1,2.0,0.0,1.0,0.2,0.0,0.0,21.1,7.6
Ficus_hispida,0.945,0.0,3.3,0.5,17.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.3,0.0,4.6,0.0,0.0,38.9,0.6,2.4
Dipterocarpus_indicus,0.937,0.3,0.3,16.4,3.0,0.0,0.1,0.3,1.8,2.3,0.0,2.2,16.3,6.3,0.4,0.0,0.0,2.4,0.4,18.5,29.0
Chassalia_curviflora,0.853,0.0,0.1,0.0,26.6,0.0,0.0,41.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4
Goniothalamus_wightii,0.995,0.0,0.7,0.0,3.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,89.9,5.7,0.1,0.0,0.0,0.0,0.0
Toona_ciliata,0.658,6.7,2.1,0.0,41.1,0.0,1.4,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,10.2,23.1,10.7,0.0
Goniothalamus_rhynchantherus,0.942,0.0,0.0,2.8,0.0,0.0,2.6,3.4,0.0,0.0,0.0,1.0,0.0,4.2,51.9,22.1,0.0,0.0,0.3,0.0,11.8
Maesa_indica,0.792,0.0,0.0,0.0,27.2,0.0,0.7,0.0,1.9,0.0,0.0,0.0,57.5,1.8,0.0,0.0,1.3,0.0,1.6,0.0,7.9
Bombax_ceiba,0.398,0.0,0.0,0.0,20.4,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.1,46.1,0.8,0.0,0.0,18.8,8.9,0.1
Prismatomeris_tetrandra,0.894,0.0,0.4,0.0,0.0,0.0,0.0,57.2,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.0,41.6
Atuna_indica,0.956,0.0,0.0,0.0,0.0,0.0,0.0,47.2,0.3,0.0,0.0,0.0,0.0,0.0,14.9,0.0,0.3,0.3,0.9,7.2,28.8
Syzygium_gardneri,0.875,2.1,1.1,6.4,0.0,1.4,0.0,0.3,0.5,0.0,7.9,0.0,18.4,0.1,3.9,1.3,12.0,1.5,2.3,30.3,10.6
Strombosia_ceylanica,0.886,0.0,9.8,13.1,3.2,0.0,1.5,47.0,0.0,0.0,0.6,0.0,9.1,0.0,0.7,0.5,0.0,0.0,1.7,0.5,12.4
Pterospermum_reticulatum,0.909,0.0,1.0,5.9,0.1,0.0,0.0,11.0,0.3,0.3,0.0,0.0,1.2,0.0,33.6,6.2,0.0,0.7,2.8,8.0,29.0
Homalium_ceylanicum,0.838,0.0,15.6,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.4,7.4,11.1,0.1,5.2,0.0,2.3,5.4,50.7,0.7
Holigarna_nigra,0.934,0.6,0.3,0.5,4.8,0.7,0.0,2.4,0.2,0.0,18.4,2.4,23.7,0.4,13.8,0.0,0.0,0.0,0.3,31.2,0.3
Syzygium_laetum,0.905,1.8,0.7,28.5,0.0,0.0,2.2,2.5,9.0,0.0,0.0,2.6,22.6,0.9,0.0,0.0,2.1,0.0,0.9,19.4,6.8
Drypetes_confertiflora,0.937,0.3,0.4,18.8,1.0,1.1,2.7,13.8,0.0,0.0,0.3,0.5,6.2,0.0,0.0,3.0,0.0,0.0,0.0,3.6,48.3
Litsea_keralana,0.902,0.0,3.1,1.1,2.5,0.0,0.0,0.7,0.0,0.2,6.9,0.0,20.8,0.0,1.8,0.0,0.9,0.0,0.1,49.1,12.7
Syzygium_mundagam,0.994,0.0,4.8,2.5,0.0,0.0,0.0,27.9,0.0,0.9,0.5,0.0,6.0,0.0,18.4,5.4,0.0,9.6,0.0,22.1,1.8
Artocarpus_heterophyllus,0.83,0.1,3.1,6.2,4.2,0.2,1.1,0.0,20.5,0.1,0.0,1.4,29.4,0.1,15.9,0.9,0.1,0.7,0.5,15.0,0.6
Diospyros_ridleyi,0.986,0.2,0.0,0.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.6,2.3,0.0,0.0,0.0,0.0,6.7,12.9
Mammea_suriga,0.848,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.1,42.5,4.2,0.0,25.0,0.0,23.3
Hopea_canarensis,0.996,0.0,0.0,1.1,0.0,0.0,0.0,0.0,5.9,0.0,0.5,0.0,0.2,0.0,6.5,0.4,0.0,0.5,1.9,76.0,7.0
Paramignya_monophylla,0.925,0.0,1.1,0.3,8.6,0.2,0.0,0.0,0.0,0.1,0.0,0.0,3.6,5.2,0.7,55.9,3.4,0.0,0.9,11.4,8.6
Dendrocnide_sinuata,0.812,0.2,2.2,0.0,2.8,2.8,0.0,40.1,4.9,0.2,6.2,0.9,0.0,1.9,9.8,0.1,0.2,7.1,4.3,2.9,13.4
Blachia_denudata,0.959,0.0,6.1,0.0,3.5,0.0,0.0,3.7,0.0,0.0,0.0,0.0,2.6,55.8,4.8,0.0,0.0,0.0,9.4,7.3,6.9
Pterospermum_diversifolium,0.767,0.0,0.7,0.0,3.8,0.0,4.4,0.0,0.0,0.8,0.0,13.7,34.9,14.6,0.0,0.0,5.7,0.0,1.6,0.0,19.8
Mallotus_beddomei,0.991,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.6,0.0,0.0,0.0,0.0,0.0,0.1
Syzygium_caryophyllatum,0.876,0.0,0.0,2.4,2.1,0.0,0.0,0.0,0.0,0.0,0.0,2.8,5.8,20.2,1.5,12.1,4.5,0.0,14.3,11.1,23.3
Hopea_erosa,0.866,0.0,12.4,0.0,0.0,0.0,0.0,61.2,3.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,17.2,1.9,0.0,0.0
Polyalthia_coffeoides,0.978,2.8,3.6,0.5,0.0,0.0,0.0,0.1,0.0,3.2,0.0,0.0,10.9,1.0,0.0,0.2,7.2,24.0,0.0,38.4,8.0
Gordonia_obtusa,0.965,2.4,17.7,0.0,0.0,0.0,0.0,8.0,0.0,3.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.1,0.0,53.2,0.6
Garcinia_gummi-gutta,0.869,0.3,18.8,9.9,5.8,0.0,2.1,4.8,10.2,0.0,0.0,0.0,13.5,0.6,0.0,0.0,2.0,0.0,0.7,17.2,14.0
Gomphandra_tetrandra,0.874,0.0,11.8,7.7,0.0,0.0,2.1,0.0,1.4,1.3,0.0,0.7,21.2,0.0,4.3,0.0,0.0,8.9,0.1,31.5,8.8
Heptapleurum_ellipticum,0.995,0.0,2.9,0.0,0.6,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,87.8,0.0,0.0,2.2,0.0,4.2
Lepisanthes_erecta,0.871,0.0,0.0,0.0,5.0,22.0,0.0,55.4,5.9,0.0,3.4,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5
Tetrameles_nudiflora,0.775,0.0,10.3,0.0,29.8,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,18.8,23.7,0.0,0.0,6.5,0.0,10.7
Drypetes_wightii,0.896,0.0,1.5,2.4,12.1,8.1,0.0,63.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,10.9
Actinodaphne_gullavara,0.959,0.0,0.0,5.9,0.0,0.0,1.3,4.2,8.0,0.0,0.0,1.2,1.1,18.4,31.8,5.5,2.1,0.2,19.2,0.6,0.5
Knema_attenuata,0.84,5.2,4.3,16.3,3.5,2.7,2.7,2.8,0.7,0.0,1.9,2.1,16.4,1.9,0.2,0.3,0.7,0.5,2.3,8.8,26.8
Chukrasia_tabularis,0.904,0.0,7.3,0.0,20.6,3.7,0.0,56.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,8.9,0.0
Terminalia_paniculata,0.907,0.1,0.2,0.0,0.4,0.0,0.0,10.1,0.0,2.1,0.9,1.5,1.9,14.8,33.1,2.3,0.3,0.0,25.2,6.2,1.0
Kingiodendron_pinnatum,0.915,0.0,15.2,0.9,0.0,0.0,7.0,60.6,0.0,0.0,0.0,0.3,0.0,0.0,0.8,0.0,2.0,0.0,2.3,7.5,3.4
Diospyros_oocarpa,0.855,0.0,0.2,15.1,1.7,0.0,0.0,0.0,0.0,0.0,0.1,5.2,0.5,29.7,12.3,0.1,13.9,0.0,4.3,1.7,15.2
Tabernaemontana_alternifolia,0.845,0.8,0.0,0.1,3.3,1.4,9.6,7.0,0.0,0.2,0.3,3.1,25.3,0.6,22.3,1.7,0.0,0.2,22.7,1.3,0.1
Mallotus_philippensis,0.789,0.0,0.0,4.6,0.6,10.2,0.0,0.7,0.6,0.0,0.1,0.5,31.6,6.6,3.6,2.9,4.1,0.1,2.9,3.9,26.9
Meyna_laxiflora,0.764,0.0,0.0,1.8,1.1,0.0,0.0,2.3,0.2,0.0,0.0,0.0,0.8,13.8,29.3,22.9,0.4,0.3,0.0,24.0,3.0
Goniothalamus_thwaitesii,0.981,0.0,3.6,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,0.0
Tabernaemontana_gamblei,0.924,2.8,2.9,1.0,6.3,2.6,0.0,19.7,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.3,1.5,0.0
Cinnamomum_macrocarpum,0.658,0.0,9.5,0.0,13.8,0.0,0.0,17.3,0.0,0.0,0.0,0.0,0.0,0.0,24.3,0.0,0.0,0.0,0.0,0.0,35.0
Euonymus_dichotomus,0.998,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,77.5,13.5,1.1,0.0,4.3,0.0,0.0
Erythroxylum_moonii,0.972,0.0,0.6,0.0,37.0,7.7,0.0,41.1,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,2.9,0.2,4.2,0.0
Litsea_travancorica,0.973,0.0,0.0,9.0,3.9,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.5,1.2,3.6,0.0,48.8,0.4,0.0,9.6
Gymnacranthera_canarica,0.924,0.0,0.1,0.0,59.2,0.0,0.0,0.0,0.0,0.0,0.0,14.2,16.2,5.6,0.0,0.0,0.0,0.0,0.0,0.0,4.7
Syzygium_benthamianum,0.995,0.0,1.7,0.4,0.0,1.7,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,54.9,3.7,0.0,35.2,0.0,0.0,0.0
Ficus_callosa,0.697,0.0,0.0,0.0,44.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,17.5,0.0,2.9,0.0,0.0,0.0,5.4,26.6,2.9
Palaquium_bourdillonii,0.999,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.1,80.5,3.3,0.6,0.0,1.1,0.0,0.0
Mitragyna_tubulosa,0.862,0.0,0.1,7.9,0.0,0.0,0.0,51.5,0.0,0.2,0.0,0.0,0.0,1.1,0.0,0.9,0.4,0.0,0.0,0.0,37.9
Cinnamomum_keralaense,0.265,0.0,4.2,0.0,31.4,25.4,0.0,27.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,3.6,0.0,0.0,0.0,8.2,0.0
Aporosa_acuminata,0.947,0.0,5.2,4.5,6.1,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,3.7,1.9,5.8,0.0,44.7,0.0,0.0,9.1
Mitragyna_parvifolia,0.943,0.0,74.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8,0.0,0.0
Antiaris_toxicaria,0.899,0.0,7.0,13.3,11.4,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.1,50.6,6.4
Polyalthia_fragrans,0.939,0.0,0.6,23.2,0.1,0.0,1.2,1.7,0.0,0.0,0.4,0.6,9.6,0.0,4.0,0.3,0.1,0.0,0.0,4.9,53.2
Meteoromyrtus_wynaadensis,0.984,0.0,23.5,1.7,3.8,0.0,0.0,30.3,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6,6.9
Humboldtia_vahliana,0.973,0.8,0.0,12.3,0.0,0.0,30.6,34.7,0.0,0.0,0.0,2.9,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,18.1
Diospyros_candolleana,0.943,0.0,0.6,7.0,1.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,3.4,0.4,2.3,7.9,45.5,0.4,9.0,2.7,19.6
Memecylon_pseudogracile,0.994,0.0,13.9,0.9,0.0,0.0,0.0,15.4,8.3,5.3,0.0,0.0,5.8,0.0,7.7,5.5,5.6,0.0,0.0,31.7,0.0
Aglaia_edulis,0.931,0.0,0.0,16.6,2.4,0.0,0.4,0.0,14.2,0.0,0.0,0.0,3.8,11.5,7.4,1.1,33.5,0.1,1.7,3.7,3.5
Acrocarpus_fraxinifolius,0.932,0.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8,3.8
Eugenia_mooniana,0.92,2.1,1.0,1.3,0.0,0.9,5.0,3.2,14.7,0.0,0.0,0.0,15.1,0.0,35.3,2.0,0.0,6.9,0.0,1.8,10.7
Ligustrum_robustum,0.996,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,0.0,80.0,0.0,0.4,2.5,0.0,5.1
Litsea_stocksii,0.891,13.5,0.6,0.0,0.0,0.4,0.0,0.1,0.0,0.0,18.8,0.0,1.8,3.0,7.2,38.7,0.0,6.0,6.4,0.1,3.3
Excoecaria_oppositifolia,0.998,5.4,21.1,6.0,0.1,0.0,0.0,60.2,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1.2
Flacourtia_montana,0.819,0.0,1.4,24.4,1.1,0.0,3.1,0.4,0.1,0.3,0.8,0.0,3.8,0.6,13.0,0.0,34.4,2.2,9.7,0.4,4.2
Ficus_exasperata,0.988,0.0,0.0,0.0,32.5,0.0,0.0,37.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,11.4,0.0,0.0
Hopea_glabra,0.933,0.0,2.2,0.0,54.9,2.7,0.0,29.8,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,3.2,0.0
Holigarna_grahamii,0.926,0.0,0.0,1.8,1.4,0.0,0.2,1.1,0.1,0.0,16.9,4.0,5.6,38.0,3.2,0.2,6.5,2.5,1.2,2.6,14.8
Mappia_nimmoniana,0.998,0.0,0.0,1.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0.0,67.9,0.0,1.5,12.5,4.7,4.2
Carissa_carandas,0.968,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,12.6,0.2,63.7,0.0,0.1,14.6,0.3,4.9
Humboldtia_brunonis,0.976,0.0,5.5,0.0,0.3,0.0,0.0,10.3,1.5,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.8,3.7,0.0,60.4,13.3
Symplocos_rosea,0.89,0.0,4.7,5.2,3.8,0.0,1.1,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,31.3,0.0,0.0,31.7
Agrostistachys_borneensis,0.981,0.0,1.6,0.0,1.4,0.0,0.0,4.8,0.0,6.8,22.0,0.0,10.8,0.0,11.6,0.1,0.6,0.5,0.3,39.5,0.0
Ardisia_missionis,0.996,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,10.1
Gomphandra_coriacea,0.982,1.3,8.8,0.7,0.0,8.8,0.4,16.3,0.0,0.0,9.1,7.3,0.3,0.0,41.1,0.0,0.0,2.1,0.2,3.5,0.0
